id|latitud|longitud|autor|barrio|verso
977|40.4101467|-3.6524887|﻿Natos &amp; Waor|﻿MORATALAZ|Me como la manzana prohibida a bocados&lt;br&gt;encantado de caer en la tentación
288|40.4084067|-3.6452856|﻿JonZabaleta|﻿MORATALAZ|Non gogoa, han zangoa
842|40.4091563|-3.6604133|﻿Claudia López Velasco|﻿MORATALAZ|El alma, como unidad de medida.
640|40.4092043|-3.656968|﻿Chantal Maillard|﻿MORATALAZ|Escribo para que el agua&lt;br&gt;envenenada pueda beberse
216|40.4081616|-3.6526511|﻿Cristina Gonzalez Monterrubio|﻿MORATALAZ|Estamos a un abrazo de distancia.
119|40.4069117|-3.6576078|﻿ROY GALÁN|﻿MORATALAZ|Por mi vulva, por mi vulva,&lt;br&gt;por mi gran vulva.
871|40.4063153|-3.6551481|﻿María Sánchez|﻿MORATALAZ|soy un amasijo de pájaros&lt;br&gt;que no supieron volver a casa
872|40.4057864|-3.650795|﻿Pedro Guerra|﻿MORATALAZ|Confundida sin saber que las heridas&lt;br&gt;son el precio del vivir
641|40.4041687|-3.6480296|﻿Carlota Gómez|﻿MORATALAZ|Camino para encontrarme contigo.
348|40.4032598|-3.6436013|﻿Ben Clark|﻿MORATALAZ|¿Y por qué no&lt;br&gt;lo hacemos en el suelo?
349|40.4053166|-3.6415761|﻿Yago Sagrado García|﻿MORATALAZ|Andar es contar historias&lt;br&gt;con los pies.
485|40.4066687|-3.6374804|﻿Kamikaze|﻿MORATALAZ|Tu camino es tuyo,&lt;br&gt;si quieres yo me quito
766|40.4057863|-3.6325559|﻿Alejandra Santos|﻿MORATALAZ|Si te pesa el paso dame un beso&lt;br&gt;y se te pasa
1047|40.4040513|-3.6369104|﻿Sara Rubio Garrido|﻿MORATALAZ|Si nos estamos cruzando&lt;br&gt;no puede ser casualidad
767|40.4004206|-3.6474831|﻿Dani Martín|﻿MORATALAZ|A veces gritas desde el cielo&lt;br&gt;queriendo destrozar mi calma
113|40.4009088|-3.6433652|﻿Luis Luna|﻿FONTARRÓN|Coser con la sílaba un cuerpo.&lt;br&gt;Y acunarlo
893|40.3987334|-3.6458395|﻿Miguel Furones|﻿FONTARRÓN|Deja de darle vueltas a tu problema.&lt;br&gt;Lo verás más claro cuando esté parado
642|40.40058|-3.634766|﻿MARIU DIAZ|﻿MORATALAZ|Pretérito perfecto del verbo contigo
350|40.400147|-3.6322259|﻿Matamua|﻿MORATALAZ|Sé libre: inconformista.
486|40.398567|-3.6378707|﻿Joaquín Calderón|﻿PAVONES|A veces leer&lt;br&gt;también es jugarse la vida.
180|40.3962138|-3.641363|﻿Ane Atutxa Lekerika|﻿MORATALAZ|A ti, que supiste leer en mí todo&lt;br&gt;lo que nunca llegué a escribir
487|40.3951955|-3.6335564|﻿ROSA MARIA HERRADA ALEJANO|﻿MORATALAZ|Música, qué mágico invento.
488|40.4055065|-3.6176562|﻿Jorge Drexler|﻿VICÁLVARO|Uno solo conserva lo que no amarra
768|40.4076858|-3.6155079|﻿Любава Малышева|﻿VICÁLVARO|Лучшая погода — это свобода.
289|40.4087335|-3.6138958|﻿Pilar Blanco Díaz|﻿VICÁLVARO|Luego la luz se impone&lt;br&gt;abriendo la mañana con su quilla.
88|40.4096607|-3.6103473|﻿Patty de Frutos|﻿VICÁLVARO|Together is Better
873|40.4081637|-3.606552|﻿Bel Rodríguez|﻿VICÁLVARO|Volverán las oscuras gabardinas
769|40.4055923|-3.5995191|﻿Vetusta Morla|﻿VICÁLVARO|Cruzaré este nuevo umbral&lt;br&gt;sin fuel para regresar
125|40.4032801|-3.594785|﻿Nacho 7 años|﻿VICÁLVARO|No veo con tanta noche
489|40.406301|-3.6128564|﻿Lemur|﻿VICÁLVARO|Eres mi error favorito
770|40.407694|-3.6097464|﻿Fernando Vara del Rey|﻿AMBROZ|Mi garganta, mi sólido elemento,&lt;br&gt;labrada de alquitrán y de cemento
643|40.4059028|-3.6090114|﻿Supersubmarina|﻿VICÁLVARO|El silencio que hay entre vosotros&lt;br&gt;pronto quedará en un despertar
114|40.4050572|-3.6157412|﻿Patricia Benito|﻿VICÁLVARO|Que te sabes el camino&lt;br&gt;y no has vuelto
490|40.4042678|-3.6102359|﻿saracmi|﻿VICÁLVARO|Cuando menos te lo esperas,&lt;br&gt;el futuro se pone en verde.
644|40.4043031|-3.6090583|﻿Joaquín Sabina|﻿VICÁLVARO|Hay amores eternos que duran&lt;br&gt;lo que dura un corto invierno
491|40.4040502|-3.6065894|﻿prado morales moreno|﻿VICÁLVARO|La vida es en directo
771|40.4040635|-3.6043256|﻿Jorge Dinarés García|﻿VICÁLVARO|El presente es una anguila
233|40.4033609|-3.5989599|﻿Juan Antonio Bermúdez|﻿VICÁLVARO|Nos da pavor la quemadura&lt;br&gt;y somos llamas
645|40.4019383|-3.5969281|﻿Rosa Pazos Martín|﻿VICÁLVARO|Respira la vida, lee poesía
772|40.4017626|-3.6009434|﻿Gema Cruz Catalán|﻿VICÁLVARO|Aquí es donde hemos quedado.
774|40.3989448|-3.6029926|﻿Miguel Furones|﻿VICÁLVARO|A veces, la Filosofía da que pensar
646|40.3971381|-3.6056896|﻿LaurisLau|﻿VICÁLVARO|No es por desvelarte el final,&lt;br&gt;pero todo va a salir bien
147|40.3985292|-3.6248981|﻿JAVIER MONTES|﻿VICÁLVARO|Cruce de miradas
492|40.397183|-3.6223823|﻿Paola Soto|﻿VALDEBERNARDO|Me estoy rompiendo sólo para ver&lt;br&gt;qué me hiciste por dentro
234|40.3973424|-3.619802|﻿Claudia Viu Balagueró|﻿VICÁLVARO|Acuérdate de vivir.
647|40.4144845|-3.7299053|﻿Beapixels|﻿LATINA|Disfruten las molestias.
775|40.4111945|-3.7389605|﻿Antonio Colinas|﻿PUERTA DEL ÁNGEL|Respirad en el silencio de la luz
956|40.413684|-3.7242848|﻿Laura Fraile Vicente|﻿PUERTA DEL ÁNGEL|No podemos cruzar.¿De qué color&lt;br&gt;debe estar el semáforo para hacerlo? Azul
493|40.4136185|-3.7270421|﻿Isabel Aparici Turrado|﻿LATINA|Contigo, pan y Cibeles.
130|40.4136717|-3.7287305|﻿Isidro Moreno Carrascosa|﻿LATINA|Cuando pierdas la curiosidad,&lt;br&gt;habrás ganado la vejez
74|40.4129212|-3.7306858|﻿Fernando Calvo|﻿PUERTA DEL ÁNGEL|El silencio sigue creando
648|40.411897|-3.7334257|﻿G. Bravo|﻿PUERTA DEL ÁNGEL|Hay mil vidas en el fondo de tus ojos&lt;br&gt;¿en cuál de ellas dejarás que te ame?
62|40.4106083|-3.7364083|﻿Miguel Campello|﻿PUERTA DEL ÁNGEL|Tantas calles por andar&lt;br&gt;tantas cosas por vivir
963|40.4096495|-3.7390195|﻿Vicente Velasco Montoya|﻿ALTO DE EXTREMADURA|Tu dieta no es la adecuada:&lt;br&gt;Acumulas muchas lecturas inacabadas.
874|40.4102805|-3.7272177|﻿caminante indómita|﻿LATINA|Ser funambulista en la ciudad cansada
494|40.4084333|-3.7294842|﻿Isel Rivero|﻿PUERTA DEL ÁNGEL|Terrible es la memoria que nos fija&lt;br&gt;a las colinas de la infancia
875|40.4106497|-3.7233293|﻿Faraón &amp; Los Sarcófagos|﻿LATINA|Te quiero tanto&lt;br&gt;que he puesto tu nombre a mi frutería
1085|40.4076347|-3.7261999|﻿Joan Manuel Serrat|﻿PUERTA DEL ÁNGEL|Sin utopía la vida sería un ensayo para la muerte
649|40.4068177|-3.7288902|﻿SALVADOR J. TAMAYO|﻿PUERTA DEL ÁNGEL|Yo no lavo mi ropa,&lt;br&gt;alisto un uniforme para la batalla.
843|40.4048978|-3.7334325|﻿Tuky|﻿LATINA|Se comunicaban con silencios
